model,metric,window,aic,bic,loglik,f_test_p_val,trend_test_p_val
ols_cat,close_def_dist,1,381223.3311221531,385320.99474649294,-190166.66556107654,2.011795914229518e-06,0.0018325394140007694
ols_cat,close_def_dist,2,331711.4235042713,335674.60154844815,-165418.71175213566,0.00011400945219946915,0.0017025490798831988
ols_cat,close_def_dist,3,285072.3074718674,288907.93237497366,-142106.1537359337,0.0006472968726305495,0.10606598688078901
ols_cat,close_def_dist,4,243395.27503750875,247031.10068612412,-121282.63751875437,9.912507729613374e-05,0.19532819520649736
ols_cat,close_def_dist,5,204708.25657265645,208196.21028434648,-101948.12828632822,0.0015402656715220006,9.431312848465133e-38
ols_cat,close_def_dist,6,170611.01944482492,173883.76302915293,-84916.50972241246,0.002497989100378335,0.00023281442465202613
ols_cat,close_def_dist,7,141255.78535048978,144241.87801606936,-70264.89267524489,0.027456743378103485,1.4193578424020327e-13
ols_cat,close_def_dist,8,115907.23005749242,118653.83235600202,-57611.61502874621,0.0684302959383597,5.119452785188619e-06
ols_cat,close_def_dist,9,94378.2041249011,96796.14130141905,-46880.10206245055,0.04838073912095768,0.007737878559742278
ols_cat,close_def_dist,10,75785.92234880579,77931.78781452942,-37610.961174402895,0.002262184065467956,0.17002701818038346
ols,close_def_dist,1,381223.3311221531,385320.99474649294,-190166.66556107654,,
ols,close_def_dist,2,331709.42740096507,335663.53638783254,-165418.71370048253,,
ols,close_def_dist,3,285069.83357775176,288887.61836502963,-142106.91678887588,,
ols,close_def_dist,4,243391.03477759744,247000.57734923484,-121283.51738879872,,
ols,close_def_dist,5,204702.92430941225,208156.51394512504,-101949.46215470613,,
ols,close_def_dist,6,170614.5542306899,173845.2317021088,-84923.27711534494,,
ols,close_def_dist,7,141254.39640111558,144191.13216313187,-70270.19820055779,,
ols,close_def_dist,8,115904.42050100982,118594.80579340959,-57617.21025050491,,
ols,close_def_dist,9,94376.0165489674,96731.3534102357,-46887.0082744837,,
ols,close_def_dist,10,75786.070387641,77863.45078530961,-37620.0351938205,,
gam_2_3,close_def_dist,1,381244.7479661749,-70681.0700555857,-190185.37398308745,,
gam_2_3,close_def_dist,2,331736.9765280796,-52816.90584459854,-165439.4882640398,,
gam_2_3,close_def_dist,3,285096.94426456466,-45046.22188974195,-142127.47213228233,,
gam_2_3,close_def_dist,4,243418.5060550796,-29003.79460621532,-121304.2530275398,,
gam_2_3,close_def_dist,5,204728.88086501457,-24571.430465272802,-101969.44043250728,,
gam_2_3,close_def_dist,6,170626.03714081005,-22485.935949623236,-84936.01857040502,,
gam_2_3,close_def_dist,7,141320.8019105844,-15729.178103743587,-70310.4009552922,,
gam_2_3,close_def_dist,8,115956.95533595158,-11839.33112999922,-57650.47766797579,,
gam_2_3,close_def_dist,9,94409.74986472994,-5781.087340710539,-46910.87493236497,,
gam_2_3,close_def_dist,10,75801.59879142541,-4520.214946424268,-37634.799395712704,,
gam_2_4,close_def_dist,1,381239.39776266576,-70744.7068570985,-190181.69888133288,,
gam_2_4,close_def_dist,2,331736.97652807954,-52816.90584459866,-165439.48826403977,,
gam_2_4,close_def_dist,3,285097.59889625147,-45048.78484399279,-142126.79944812573,,
gam_2_4,close_def_dist,4,243419.17714051975,-29006.39351365791,-121303.58857025988,,
gam_2_4,close_def_dist,5,204729.4325305073,-24575.13149374764,-101968.71626525365,,
gam_2_4,close_def_dist,6,170622.03797597415,-22533.229532146535,-84933.01898798707,,
gam_2_4,close_def_dist,7,141321.31279060943,-15733.138384957972,-70309.65639530472,,
gam_2_4,close_def_dist,8,115958.72617076762,-11831.446270831046,-57650.36308538381,,
gam_2_4,close_def_dist,9,94409.88877659767,-5788.674103671656,-46909.944388298834,,
gam_2_4,close_def_dist,10,75803.44595604512,-4512.001591065258,-37634.72297802256,,
gam_3_4,close_def_dist,1,381244.74796617497,-70681.0700555857,-190185.37398308748,,
