model,metric,window,aic,loglik
gam_2_3,close_def_dist,1,381244.7479661749,-190185.37398308745
gam_2_3,close_def_dist,2,331736.9765280796,-165439.4882640398
gam_2_3,close_def_dist,3,285096.94426456466,-142127.47213228233
gam_2_3,close_def_dist,4,243418.5060550796,-121304.2530275398
gam_2_3,close_def_dist,5,204728.88086501457,-101969.44043250728
gam_2_3,close_def_dist,6,170626.03714081005,-84936.01857040502
gam_2_3,close_def_dist,7,141320.8019105844,-70310.4009552922
gam_2_3,close_def_dist,8,115956.95533595158,-57650.47766797579
gam_2_3,close_def_dist,9,94409.74986472994,-46910.87493236497
gam_2_3,close_def_dist,10,75801.59879142541,-37634.799395712704
gam_2_4,close_def_dist,1,381239.39776266576,-190181.69888133288
gam_2_4,close_def_dist,2,331736.97652807954,-165439.48826403977
gam_2_4,close_def_dist,3,285097.59889625147,-142126.79944812573
gam_2_4,close_def_dist,4,243419.17714051975,-121303.58857025988
gam_2_4,close_def_dist,5,204729.4325305073,-101968.71626525365
gam_2_4,close_def_dist,6,170622.03797597415,-84933.01898798707
gam_2_4,close_def_dist,7,141321.31279060943,-70309.65639530472
gam_2_4,close_def_dist,8,115958.72617076762,-57650.36308538381
gam_2_4,close_def_dist,9,94409.88877659767,-46909.944388298834
gam_2_4,close_def_dist,10,75803.44595604512,-37634.72297802256
gam_3_4,close_def_dist,1,381244.74796617497,-190185.37398308748
gam_3_4,close_def_dist,2,331736.9765280795,-165439.48826403974
gam_3_4,close_def_dist,3,285097.59889625147,-142126.79944812573
gam_3_4,close_def_dist,4,243419.1771405197,-121303.58857025985
gam_3_4,close_def_dist,5,204729.29701395062,-101968.64850697531
gam_3_4,close_def_dist,6,170624.17304946514,-84934.08652473257
gam_3_4,close_def_dist,7,141320.70587809235,-70309.35293904618
gam_3_4,close_def_dist,8,115956.83955548727,-57649.419777743635
gam_3_4,close_def_dist,9,94409.07989798543,-46909.539948992715
gam_3_4,close_def_dist,10,75801.23274284895,-37633.616371424476
gam_3_5,close_def_dist,1,381239.39776266576,-190181.69888133288
gam_3_5,close_def_dist,2,331736.9765280796,-165439.4882640398
gam_3_5,close_def_dist,3,285097.59889625147,-142126.79944812573
gam_3_5,close_def_dist,4,243421.0297741636,-121303.5148870818
gam_3_5,close_def_dist,5,204730.8592950983,-101968.42964754914
gam_3_5,close_def_dist,6,170626.12519231095,-84934.06259615548
gam_3_5,close_def_dist,7,141306.4241290087,-70301.21206450435
gam_3_5,close_def_dist,8,115943.40840519409,-57641.704202597044
gam_3_5,close_def_dist,9,94390.6895202165,-46899.34476010825
gam_3_5,close_def_dist,10,75787.98879066684,-37625.99439533342
gam_4_5,close_def_dist,1,381244.74796617485,-190185.37398308743
gam_4_5,close_def_dist,2,331736.9765280795,-165439.48826403974
gam_4_5,close_def_dist,3,285097.59889625147,-142126.79944812573
gam_4_5,close_def_dist,4,243421.0297741636,-121303.5148870818
gam_4_5,close_def_dist,5,204731.0604712842,-101968.5302356421
gam_4_5,close_def_dist,6,170626.17295030467,-84934.08647515233
gam_4_5,close_def_dist,7,141309.78273676473,-70302.89136838236
gam_4_5,close_def_dist,8,115940.76527260568,-57640.38263630284
gam_4_5,close_def_dist,9,94392.09576200404,-46900.04788100202
gam_4_5,close_def_dist,10,75785.10045117316,-37624.55022558658
gam_4_6,close_def_dist,1,381239.39776266576,-190181.69888133288
gam_4_6,close_def_dist,2,331736.9765280795,-165439.48826403974
gam_4_6,close_def_dist,3,285097.59889625147,-142126.79944812573
gam_4_6,close_def_dist,4,243421.02977416362,-121303.51488708181
gam_4_6,close_def_dist,5,204732.4814648945,-101968.24073244724
gam_4_6,close_def_dist,6,170619.9883259263,-84929.99416296315
gam_4_6,close_def_dist,7,141295.87927212127,-70294.93963606063
gam_4_6,close_def_dist,8,115933.92062971625,-57635.96031485812
gam_4_6,close_def_dist,9,94387.99523916787,-46896.99761958393
gam_4_6,close_def_dist,10,75779.5861741215,-37620.79308706075
gam_2_3,avg_def_dist,1,443891.1496350205,-221508.57481751026
gam_2_3,avg_def_dist,2,386403.7682781653,-192772.88413908266
gam_2_3,avg_def_dist,3,332614.9535700643,-165886.47678503214
gam_2_3,avg_def_dist,4,284354.51328058244,-141772.25664029122
gam_2_3,avg_def_dist,5,239925.64553427452,-119567.82276713726
gam_2_3,avg_def_dist,6,200388.55186990567,-99817.27593495284
gam_2_3,avg_def_dist,7,166645.72392987408,-82972.86196493704
gam_2_3,avg_def_dist,8,137084.82871659717,-68214.41435829859
gam_2_3,avg_def_dist,9,111760.14453547614,-55586.07226773807
gam_2_3,avg_def_dist,10,89602.20645705546,-44535.10322852773
gam_2_4,avg_def_dist,1,443774.72103674413,-221449.36051837206
gam_2_4,avg_def_dist,2,386403.7682781654,-192772.8841390827
gam_2_4,avg_def_dist,3,332614.79293143377,-165885.39646571688
gam_2_4,avg_def_dist,4,284356.0141833519,-141772.00709167594
gam_2_4,avg_def_dist,5,239927.58586251838,-119567.79293125919
gam_2_4,avg_def_dist,6,200386.87126578166,-99815.43563289083
gam_2_4,avg_def_dist,7,166579.26251008938,-82938.63125504469
gam_2_4,avg_def_dist,8,137022.72234824137,-68182.36117412068
gam_2_4,avg_def_dist,9,111670.33913124245,-55540.169565621225
gam_2_4,avg_def_dist,10,89522.80445987926,-44494.40222993963
gam_3_4,avg_def_dist,1,443891.1496350205,-221508.57481751026
gam_3_4,avg_def_dist,2,386403.7682781653,-192772.88413908266
gam_3_4,avg_def_dist,3,332614.79293143377,-165885.39646571688
gam_3_4,avg_def_dist,4,284356.0141833519,-141772.00709167594
gam_3_4,avg_def_dist,5,239927.48412499917,-119567.74206249959
gam_3_4,avg_def_dist,6,200387.90758401196,-99815.95379200598
gam_3_4,avg_def_dist,7,166574.5714151978,-82936.2857075989
gam_3_4,avg_def_dist,8,136994.89679680014,-68168.44839840007
gam_3_4,avg_def_dist,9,111656.76870781613,-55533.38435390806
gam_3_4,avg_def_dist,10,89494.0120422997,-44480.00602114985
gam_3_5,avg_def_dist,1,443774.72103674413,-221449.36051837206
gam_3_5,avg_def_dist,2,386403.7682781653,-192772.88413908266
gam_3_5,avg_def_dist,3,332614.7929314338,-165885.3964657169
gam_3_5,avg_def_dist,4,284357.8921850382,-141771.9460925191
gam_3_5,avg_def_dist,5,239926.05607670033,-119566.02803835017
gam_3_5,avg_def_dist,6,200389.88666355782,-99815.94333177891
gam_3_5,avg_def_dist,7,166542.21923238458,-82919.10961619229
gam_3_5,avg_def_dist,8,136953.61582941673,-68146.80791470836
gam_3_5,avg_def_dist,9,111606.1505489917,-55507.07527449585
gam_3_5,avg_def_dist,10,89474.04039748799,-44469.020198743994
gam_4_5,avg_def_dist,1,443891.1496350205,-221508.57481751026
gam_4_5,avg_def_dist,2,386403.7682781654,-192772.8841390827
gam_4_5,avg_def_dist,3,332614.7929314338,-165885.3964657169
gam_4_5,avg_def_dist,4,284357.8921850382,-141771.9460925191
gam_4_5,avg_def_dist,5,239927.2225725402,-119566.6112862701
gam_4_5,avg_def_dist,6,200389.9015073811,-99815.95075369054
gam_4_5,avg_def_dist,7,166538.5706377187,-82917.28531885934
gam_4_5,avg_def_dist,8,136941.64664248517,-68140.82332124258
gam_4_5,avg_def_dist,9,111604.01679076781,-55506.008395383906
gam_4_5,avg_def_dist,10,89466.28266351669,-44465.14133175834
gam_4_6,avg_def_dist,1,443774.72103674413,-221449.36051837206
gam_4_6,avg_def_dist,2,386403.7682781653,-192772.88413908266
gam_4_6,avg_def_dist,3,332614.7929314338,-165885.3964657169
gam_4_6,avg_def_dist,4,284357.89218503825,-141771.94609251912
gam_4_6,avg_def_dist,5,239926.73193044425,-119565.36596522212
gam_4_6,avg_def_dist,6,200388.82219482216,-99814.41109741108
gam_4_6,avg_def_dist,7,166525.1618190534,-82909.5809095267
gam_4_6,avg_def_dist,8,136924.70536081755,-68131.35268040877
gam_4_6,avg_def_dist,9,111581.4447039552,-55493.7223519776
gam_4_6,avg_def_dist,10,89455.87836868585,-44458.939184342926
