model,metric,window,aic,loglik,f_test_p_val,trend_test_p_val
ols_cat,close_def_dist,1,381223.3311221531,-190166.66556107654,2.011795914229518e-06,0.0018325394140007694
ols_cat,close_def_dist,2,331711.4235042713,-165418.71175213566,0.00011400945219946915,0.0017025490798831988
ols_cat,close_def_dist,3,285072.3074718674,-142106.1537359337,0.0006472968726305495,0.10606598688078901
ols_cat,close_def_dist,4,243395.27503750875,-121282.63751875437,9.912507729613374e-05,0.19532819520649736
ols_cat,close_def_dist,5,204708.25657265645,-101948.12828632822,0.0015402656715220006,9.431312848465133e-38
ols_cat,close_def_dist,6,170611.01944482492,-84916.50972241246,0.002497989100378335,0.00023281442465202613
ols_cat,close_def_dist,7,141255.78535048978,-70264.89267524489,0.027456743378103485,1.4193578424020327e-13
ols_cat,close_def_dist,8,115907.23005749242,-57611.61502874621,0.0684302959383597,5.119452785188619e-06
ols_cat,close_def_dist,9,94378.2041249011,-46880.10206245055,0.04838073912095768,0.007737878559742278
ols_cat,close_def_dist,10,75785.92234880579,-37610.961174402895,0.002262184065467956,0.17002701818038346
ols,close_def_dist,1,381223.3311221531,-190166.66556107654,,
ols,close_def_dist,2,331709.42740096507,-165418.71370048253,,
ols,close_def_dist,3,285069.83357775176,-142106.91678887588,,
ols,close_def_dist,4,243391.03477759744,-121283.51738879872,,
ols,close_def_dist,5,204702.92430941225,-101949.46215470613,,
ols,close_def_dist,6,170614.5542306899,-84923.27711534494,,
ols,close_def_dist,7,141254.39640111558,-70270.19820055779,,
ols,close_def_dist,8,115904.42050100982,-57617.21025050491,,
ols,close_def_dist,9,94376.0165489674,-46887.0082744837,,
ols,close_def_dist,10,75786.070387641,-37620.0351938205,,
ols_cat,avg_def_dist,1,443779.87846563954,-221444.93923281977,0.863591675175019,3.271250690402706e-51
ols_cat,avg_def_dist,2,386340.96989783464,-192733.48494891732,0.3963513292902101,1.492572745339741e-24
ols_cat,avg_def_dist,3,332587.1464153978,-165863.5732076989,0.07930904869543653,1.2622482369075182e-07
ols_cat,avg_def_dist,4,284359.8938986636,-141764.9469493318,0.07389596897364699,3.8746628624369696e-23
ols_cat,avg_def_dist,5,239936.28574934672,-119562.14287467336,0.15836751004017477,3.7495889080153984e-111
ols_cat,avg_def_dist,6,200398.01969063273,-99810.00984531637,0.022708378569759408,5.156062167073996e-85
ols_cat,avg_def_dist,7,166280.11767366875,-82777.05883683437,0.0010787517349904767,6.508758506682336e-47
ols_cat,avg_def_dist,8,136787.1549577564,-68051.5774788782,0.21270450522116052,7.067342886873287e-48
ols_cat,avg_def_dist,9,111504.10322356832,-55443.05161178416,0.08316073702014912,1.9039693031848135e-24
ols_cat,avg_def_dist,10,89395.18541952595,-44415.592709762976,0.061590484889211046,4.3155653131562893e-16
ols,avg_def_dist,1,443779.87846563954,-221444.93923281977,,
ols,avg_def_dist,2,386339.2444313072,-192733.6222156536,,
ols,avg_def_dist,3,332584.98620528495,-165864.49310264247,,
ols,avg_def_dist,4,284355.5978549261,-141765.79892746304,,
ols,avg_def_dist,5,239933.30495608255,-119564.65247804127,,
ols,avg_def_dist,6,200396.9123926174,-99814.4561963087,,
ols,avg_def_dist,7,166283.9945659693,-82784.99728298465,,
ols,avg_def_dist,8,136778.5058942685,-68054.25294713426,,
ols,avg_def_dist,9,111497.95675965735,-55447.97837982867,,
ols,avg_def_dist,10,89392.9244796624,-44423.4622398312,,
