model,metric,aic,bic,loglik,f_test_p_val,trend_test_p_val,dir_persistence,dir_changes,sign_ci_low,sign_ci_high,zero_in_ci
poly_1,close_def_dist,433264.6356396995,437522.3182462497,-216176.31781984976,0.0003342997123440751,3.230996116795977e-155,1.0,0,-0.04067801156875187,-0.04067801156875143,False
poly_2,close_def_dist,433259.5585717546,437526.5782015648,-216172.7792858773,8.308262446340557e-05,0.024880242108712435,0.9090909090909091,1,0.02584572361655731,0.12767754987653537,False
poly_3,close_def_dist,433261.5212936639,437537.877946734,-216172.76064683194,0.00030045546623461204,0.028732507310975968,0.9090909090909091,1,0.013675020477126532,0.09506569944987359,False
poly_4,close_def_dist,433262.1058359388,437547.7995122689,-216172.0529179694,9.647330066375945e-07,0.08130380065223511,0.9090909090909091,1,0.025564408567950024,0.39783884617456006,False
exp,close_def_dist,433264.81701541634,437531.8366452265,-216175.40850770817,1.1778236353986942e-06,0.21138112968637646,0.9090909090909091,1,-0.021859872349515298,0.6258857243818502,True
spline_2_3,close_def_dist,433259.5585717546,437526.5782015648,-216172.7792858773,6.269287095534392e-26,,1.0,0,0.0,0.0,False
spline_2_4,close_def_dist,433261.06533082237,437537.4219838925,-216172.53266541119,1.9814236522111446e-25,,1.0,0,0.0,0.0,False
spline_3_4,close_def_dist,433261.5212936639,437537.877946734,-216172.76064683194,3.6329529040572147e-25,,1.0,0,0.0,0.0,False
spline_3_5,close_def_dist,433262.68412279955,437548.37779912964,-216172.34206139977,4.059713551470046e-25,0.3388006961962019,0.9090909090909091,1,0.0,4.440892098500626e-16,False
spline_4_5,close_def_dist,433262.1058359388,437547.7995122689,-216172.0529179694,5.233868775670457e-28,,1.0,0,0.0,0.0,False
spline_4_6,close_def_dist,433264.08267793513,437559.11337752524,-216172.04133896757,2.2392482209113025e-29,,1.0,0,0.0,0.0,False
poly_1,avg_def_dist,503444.8319595001,507702.51456605026,-251266.41597975005,0.17298674574220207,5.447038151804489e-146,1.0,0,0.0235836490554903,0.023583649055492078,False
poly_2,avg_def_dist,503445.60187922826,507712.62150903844,-251265.80093961413,0.1903364642969384,0.00023305283902846382,1.0,0,0.059956672752437386,0.1288043146390958,False
poly_3,avg_def_dist,503447.60108155536,507723.9577346255,-251265.80054077768,0.3347102426084709,0.0001695620246393117,1.0,0,0.06127964274220019,0.12167052194421997,False
poly_4,avg_def_dist,503449.6010570638,507735.2947333939,-251265.8005285319,0.4650506861819367,0.0001903013332564347,1.0,0,0.061381858918455615,0.12387555549195946,False
exp,avg_def_dist,503446.8313322695,507713.85096207965,-251266.41566613474,0.37774572092473946,8.555190068522034e-05,1.0,0,0.024174957667016595,0.042875631974310886,False
spline_2_3,avg_def_dist,503445.60187922826,507712.62150903844,-251265.80093961413,4.299242470449023e-258,,1.0,0,0.0,0.0,False
spline_2_4,avg_def_dist,503447.6001402773,507723.95679334743,-251265.80007013865,5.0441718893218936e-257,,1.0,0,0.0,0.0,False
spline_3_4,avg_def_dist,503447.60108155536,507723.9577346255,-251265.80054077768,5.289368006715633e-257,,1.0,0,0.0,0.0,False
spline_3_5,avg_def_dist,503449.6000658589,507735.293742189,-251265.80003292946,5.437814324282582e-256,,1.0,0,0.0,0.0,False
spline_4_5,avg_def_dist,503449.6010570638,507735.2947333939,-251265.8005285319,5.77468724711516e-256,,1.0,0,0.0,0.0,False
spline_4_6,avg_def_dist,503451.5984661485,507746.6291657386,-251265.79923307424,4.400293394012203e-255,0.3388006961962019,0.9090909090909091,1,0.0,4.440892098500626e-16,False
poly_1,def_hull_area,1067026.424976679,1071284.1075832292,-533057.2124883395,0.14867410889461846,3.6055267328747527e-150,1.0,0,0.6927603890939148,0.6927603890939386,False
poly_2,def_hull_area,1067028.418716947,1071295.4383467573,-533057.2093584735,0.351910761842964,1.3062450257507566e-08,1.0,0,0.48251197411803665,0.6062227062391254,False
poly_3,def_hull_area,1067028.4304329476,1071304.7870860177,-533056.2152164738,0.21754552814308786,0.017935309453500397,0.8181818181818182,2,2.45256756103867,10.927697171540965,False
poly_4,def_hull_area,1067030.4300606276,1071316.1237369578,-533056.2150303138,0.30498800867735254,0.018821221039856527,0.8181818181818182,2,2.1495630608016683,10.626858959243972,False
exp,def_hull_area,1067028.3738855494,1071295.3935153596,-533057.1869427747,0.290187784262693,0.06471319474882158,1.0,0,0.8918014787717647,5.418668982188127,False
spline_2_3,def_hull_area,1067028.418716947,1071295.4383467573,-533057.2093584735,2.8981960938916405e-91,0.3388006961962019,0.9090909090909091,1,-7.105427357601002e-15,0.0,False
spline_2_4,def_hull_area,1067029.8815501905,1071306.2382032606,-533056.9407750953,2.757803643094831e-90,,1.0,0,0.0,0.0,False
spline_3_4,def_hull_area,1067028.4304329476,1071304.7870860177,-533056.2152164738,2.1362289983369035e-90,,1.0,0,0.0,0.0,False
spline_3_5,def_hull_area,1067029.9911787026,1071315.6848550327,-533055.9955893513,3.580859778325258e-90,,1.0,0,0.0,0.0,False
spline_4_5,def_hull_area,1067030.4300606276,1071316.1237369578,-533056.2150303138,2.4472795864164065e-90,,1.0,0,0.0,0.0,False
spline_4_6,def_hull_area,1067031.020333856,1071326.051033446,-533055.510166928,1.1933295152780384e-89,,1.0,0,0.0,0.0,False
